2026-03-20T16:23:23.751Z JOY-0001 item.created "Hint about joy ai setup in joy init output" [horst.schwarz@joydev.com]
2026-03-20T16:33:31.208Z JOY-0002 item.created "joy project get/set for project metadata" [horst.schwarz@joydev.com]
2026-03-20T16:33:31.210Z JOY-0003 item.created "Validate keys in joy config set/get, reject unknown" [horst.schwarz@joydev.com]
2026-03-20T16:33:31.212Z JOY-0004 item.created "Rename item IDs when project acronym changes" [horst.schwarz@joydev.com]
2026-03-20T16:33:31.213Z JOY-0005 item.created "Translate items to new language via AI agent" [horst.schwarz@joydev.com]
2026-03-20T16:33:31.215Z JOY-0006 item.created "Translate items to new language via translation API" [horst.schwarz@joydev.com]
2026-03-20T16:35:16.841Z JOY-0004 item.updated "Rename item IDs when project acronym changes" [horst.schwarz@joydev.com]
2026-03-20T16:35:16.842Z JOY-0005 item.updated "Translate items to new language via AI agent" [horst.schwarz@joydev.com]
2026-03-20T16:35:16.844Z JOY-0006 item.updated "Translate items to new language via translation API" [horst.schwarz@joydev.com]
2026-03-20T16:42:20.973Z JOY-0007 item.created "Add short flags to frequently used CLI parameters" [horst.schwarz@joydev.com]
2026-03-20T16:42:28.396Z JOY-0007 comment.added "Many flags in joy ls (and likely other commands) lack short forms: --tree, --status, --priority, --mine, --blocked, --milestone, --tag, --parent. Clap supports POSIX-style flag bundling automatically, so -St for --short --tree would work once short flags exist. Decision needed: which flags get short forms? Two approaches discussed: (1) boolean flags get short forms, value flags stay long-only; (2) frequently used flags get short forms regardless of type. Resolve --show/-s vs --status/-s conflict (--status is more common, consider reassigning)." [horst.schwarz@joydev.com]
2026-03-20T16:43:48.189Z JOY-0007 item.updated "Review CLI parameter ergonomics (short flags, bundling)" [horst.schwarz@joydev.com]
2026-03-20T17:06:31.658Z JOY-0008 item.created "joy ai setup re-asks for already configured AI tools" [horst.schwarz@joydev.com]
